variable;mean;median;sd;mad;q5;q95;time;
p_fit[1;1];0.0520285402743605;0.00414458;0.144690846425325;0.00604462884438;2.289524e-05;0.2991996;1.00007735575549
p_fit[2;1];0.0520275202743787;0.00414471;0.1446886053604;0.00604481728284;2.289624e-05;0.29919055;1.00197383013554
p_fit[3;1];0.0520228069967697;0.004145335;0.144678260336718;0.00604572381861;2.2900895e-05;0.2991493;1.01072453035042
p_fit[4;1];0.0520215171147696;0.00414551;0.144675432821962;0.00604597786212;2.2904465e-05;0.2991382;1.01311767639127
p_fit[5;1];0.0520205307662444;0.00414564;0.144673269400161;0.00604616644884;2.290717e-05;0.29912915;1.01494473975617
p_fit[6;1];0.0520204283087623;0.004145655;0.144673042219076;0.00604618816893;2.2907365e-05;0.29912815;1.01513895159587
p_fit[7;1];0.0520193817627187;0.004145795;0.144670755243511;0.00604639135926;2.291026e-05;0.2991191;1.01708270893898
p_fit[8;1];0.0520187217094633;0.00414588;0.144669300152869;0.00604651448919;2.2912095e-05;0.29911305;1.01830446831416
p_fit[9;1];0.0520180763335086;0.004145965;0.144667886017994;0.00604663776738;2.291383e-05;0.299108;1.01950627980754
p_fit[10;1];0.0179234448050295;0.00518869;0.0468496425241218;0.0069649011999;0.00013562845;0.0647502699999999;93.0002480776981
p_fit[11;1];0.0179232598517965;0.005188685;0.0468488835940098;0.0069648908217;0.00013563135;0.0647497749999999;93.0011125913961
p_fit[12;1];0.017923150479915;0.005188675;0.0468484275020867;0.0069648737718;0.00013563325;0.0647494799999999;93.0016261145938
p_fit[13;1];0.0179230952339205;0.005188675;0.0468482016534581;0.0069648730305;0.00013563325;0.0647493799999999;93.0018904273305
p_fit[14;1];0.0179229867816843;0.005188675;0.0468477532424913;0.0069648715479;0.00013563515;0.0647490849999999;93.002399988533
p_fit[15;1];0.01792290078498;0.00518867;0.046847400534377;0.0069648626523;0.0001356371;0.064748885;93.0028098172601
p_fit[16;1];0.0179223368543883;0.00518865;0.0468450667337926;0.0069648241047;0.0001356457;0.0647474049999999;93.0054688094044
p_fit[17;1];0.0179222881034538;0.005188645;0.0468448711315311;0.0069648159504;0.00013564665;0.0647472099999999;93.0057042972138
p_fit[18;1];0.0179221860290948;0.00518864;0.0468444459041169;0.0069648063135;0.0001356486;0.06474701;93.0061760928109
p_fit[19;1];0.0179220789542032;0.00518864;0.0468440008092477;0.0069648048309;0.0001356505;0.0647467149999999;93.0066772147035
