"X1.lambda","X2.lambda","X3.lambda","X4.lambda"
0.070019312,0.068334206,0.074032207,0.082834756
0.062850075,0.073480608,0.067269546,0.069294894
0.082044907,0.055043205,0.072879353,0.086728865
0.067702645,0.068035594,0.071358339,0.058046121
0.08459685,0.067947992,0.081174214,0.079047135
0.065021334,0.059834062,0.069282553,0.070177146
0.054498741,0.085800452,0.067461838,0.080929448
0.1031762,0.090857871,0.069346353,0.072683478
0.069447936,0.081986135,0.075262257,0.083619258
0.077617584,0.075015086,0.064096233,0.080520263
0.070588694,0.061221371,0.07296887,0.069771576
0.089645996,0.072756316,0.10407615,0.062077064
0.064704329,0.067659361,0.067212191,0.062146974
0.075735978,0.078073049,0.057444584,0.087259568
0.071848581,0.070582681,0.09035148,0.060215762
0.07828839,0.066812634,0.068123794,0.076427362
0.061065706,0.061957492,0.066708704,0.063601483
0.079636259,0.091740621,0.069683556,0.060439269
0.077292503,0.070230967,0.05787256,0.061173932
0.069698714,0.097692813,0.09770647,0.066691439
0.070432512,0.06104508,0.090271522,0.068522765
0.073523824,0.072088306,0.063244817,0.066607113
0.071547366,0.075159185,0.09207139,0.070969914
0.090112072,0.078709696,0.054355872,0.068999277
0.078032132,0.079719633,0.078067063,0.067366713
0.065263044,0.084065647,0.063018968,0.077422566
0.070098321,0.065020055,0.082504433,0.075056131
0.072706537,0.079088136,0.088473602,0.078992086
0.071000515,0.061846336,0.073569266,0.081123627
0.076828882,0.080904836,0.072647682,0.086290977
0.10175193,0.061302477,0.059156899,0.091878697
0.067182601,0.070768017,0.094004195,0.096942437
0.070890152,0.08466399,0.054457536,0.057376226
0.066063845,0.060788314,0.066509327,0.072385013
0.073709935,0.08380343,0.065036726,0.071603256
0.08427668,0.071769969,0.07652028,0.075596766
0.079860485,0.076500975,0.062161009,0.062961375
0.074025753,0.061312072,0.093435831,0.085557984
0.087528781,0.081818973,0.074217635,0.066907501
0.080328383,0.076270116,0.081065434,0.065122932
0.069043914,0.071665232,0.065497806,0.067273568
0.082233447,0.06931171,0.07176128,0.082663305
0.06342634,0.074186392,0.069234265,0.072942418
0.064819394,0.072973422,0.081945247,0.074169082
0.071678736,0.06815912,0.063794523,0.07120919
0.057907632,0.077920456,0.081211129,0.064603849
0.062270062,0.067232289,0.084189,0.097986587
0.066086336,0.059935334,0.074707924,0.060620035
0.068871184,0.06029559,0.070654259,0.078970927
0.076336363,0.067472893,0.082441915,0.074392513
0.077539054,0.077439798,0.07684596,0.065694389
0.061159601,0.068850777,0.071521788,0.086877107
0.086859775,0.078717683,0.06896127,0.087301811
0.073146351,0.074135103,0.066083008,0.082925248
0.067441387,0.07870531,0.065428994,0.075022924
0.077795697,0.072643303,0.076212699,0.087839834
0.071382432,0.07772661,0.056452196,0.068440813
0.072805258,0.064027401,0.055949012,0.056883169
0.072055321,0.059896155,0.057239395,0.088208655
0.085834621,0.088380209,0.08416917,0.067852114
0.087178947,0.066589002,0.063689021,0.07299282
0.066473313,0.062623236,0.079110257,0.062052805
0.076086518,0.086682391,0.080826032,0.059402995
0.071928115,0.087625093,0.083597018,0.079936795
0.10390556,0.086504771,0.081458912,0.089108816
0.052477791,0.082655778,0.091406521,0.068049678
0.051884545,0.081108071,0.060791544,0.075973901
0.09267611,0.071414001,0.072878307,0.075890274
0.06707748,0.080910031,0.056815745,0.072049252
0.069212014,0.069680874,0.058723729,0.081546606
0.072187448,0.079351814,0.067092711,0.083194036
0.063114426,0.072128619,0.07497408,0.088239781
0.086932132,0.083706416,0.083310034,0.056031967
0.079620331,0.068508157,0.075981686,0.080256115
0.072986552,0.067746499,0.066636383,0.08294255
0.091705487,0.065871545,0.09144731,0.069288695
0.084705398,0.067841721,0.054949745,0.092359575
0.070928605,0.069652935,0.075682861,0.068236023
0.092552654,0.065416499,0.06623108,0.072046243
0.072899571,0.08232597,0.062380423,0.07523445
0.077054519,0.073404867,0.083311476,0.074738849
0.077853325,0.069174776,0.1157896,0.080041874
0.068134585,0.070706385,0.11288633,0.083520656
0.069311624,0.072100768,0.061176846,0.057184635
0.06514612,0.092526345,0.066153772,0.090612956
0.083854113,0.053685954,0.086729368,0.06865924
0.074360191,0.079410564,0.065134245,0.083143567
0.068778158,0.071560921,0.069692591,0.079836683
0.071407859,0.094327216,0.054719709,0.084325964
0.085666725,0.052002257,0.053396549,0.087157952
0.078708419,0.076272356,0.078904867,0.059345289
0.072091811,0.069075557,0.084445381,0.06555452
0.081636983,0.083625944,0.065931809,0.053850433
0.068478148,0.076403932,0.069194368,0.062349474
0.083085629,0.076535369,0.063781269,0.076488788
0.064740792,0.074463377,0.071935059,0.05599035
0.081701404,0.066867684,0.076170652,0.093618506
0.058973714,0.069124603,0.069303873,0.06909933
0.059117156,0.078829531,0.073124221,0.069729604
0.089578894,0.074122405,0.070243432,0.059694878
0.078083249,0.10393289,0.069834082,0.079324127
0.068769385,0.056160406,0.075514841,0.067910626
0.072166559,0.066136407,0.087167817,0.067172215
0.066013136,0.076849624,0.085572077,0.081083479
0.092356051,0.069715743,0.062532379,0.068045052
0.093256127,0.098219001,0.08224811,0.08427943
0.052368995,0.097151228,0.07247112,0.071970057
0.077026782,0.060723779,0.072993205,0.088692884
0.052513148,0.077584391,0.070077299,0.057983043
0.08690842,0.072661949,0.065099182,0.091889148
0.052432699,0.079727709,0.060577744,0.10045107
0.065549499,0.090693544,0.061837065,0.061756363
0.080556538,0.085473578,0.062420976,0.10851735
0.080120278,0.093359038,0.092028289,0.10444037
0.066448255,0.064701459,0.055437723,0.058956973
0.092996032,0.093250568,0.082941263,0.10196893
0.082156343,0.092765347,0.080162007,0.053702743
0.08302776,0.090929768,0.075391327,0.097501262
0.06310675,0.05667855,0.073536303,0.059216176
0.090016968,0.096987677,0.075216492,0.069915177
0.076314544,0.058966476,0.066976719,0.069611183
0.066134265,0.075726477,0.076679034,0.093701335
0.055888102,0.065385606,0.066334468,0.062865053
0.058630103,0.080619677,0.088832675,0.089496076
0.064329702,0.067880198,0.078447821,0.068310642
0.086446447,0.077037513,0.07634346,0.067926563
0.070662387,0.069757618,0.0721105,0.090656689
0.069416458,0.066905195,0.076204575,0.0691927
0.070988114,0.073081635,0.068685672,0.058747498
0.071004117,0.067943287,0.073761133,0.072151187
0.061811669,0.075832836,0.061714357,0.07064099
0.063110714,0.071951131,0.07339874,0.07980236
0.078181002,0.086083404,0.067934722,0.079761602
0.085522564,0.082770118,0.068108134,0.069632333
