"observation","mean_1]","mean_2]","median_1]","median_2]","sd_1]","sd_2]","mad_1]","mad_2]","q5_1]","q5_2]","q95_1]","q95_2]","time"
"y_fit[1",4.61748921,9.56875449,4.616975,9.568395,0.286165514822094,0.290288588953233,0.284110638,0.283643619000001,4.151245,9.0984355,5.091681,10.05017,8.00211607891601
"y_fit[2",4.61709993,9.5678625625,4.61657,9.56746,0.286132074408998,0.290254632369945,0.284088399000001,0.283658445,4.1509345,9.097606,5.0912315,10.049175,8.00355686351191
"y_fit[3",4.6166443375,9.5668188925,4.616095,9.566395,0.286092886264765,0.290215629830817,0.284073573000001,0.283688097,4.1505265,9.0966275,5.090702,10.04808,8.00524344631936
"y_fit[4",4.61550146,9.56420012,4.614935,9.563715,0.28599460421471,0.290116253710478,0.284058747,0.283480533000001,4.149459,9.094189,5.0893745,10.045185,8.00947535606101
"y_fit[5",4.61535104,9.56385567,4.614785,9.56336,0.2859817096743,0.290103604488009,0.284051334000001,0.283413816,4.1493205,9.0938785,5.0892045,10.04479,8.01003260875586
"y_fit[6",4.6146395775,9.5622259475,4.614065,9.56178,0.285920536341519,0.290042159098752,0.284036508,0.283398989999999,4.1486675,9.0923865,5.088376,10.042985,8.01266741902568
"y_fit[7",4.6143171625,9.5614872375,4.613745,9.56108,0.285892858574448,0.290014285243253,0.284021682000001,0.283443468,4.1483615,9.0917155,5.0879965,10.04209,8.01386191665195
"y_fit[8",4.61412993,9.5610581225,4.613555,9.560675,0.285876815037507,0.289997588008353,0.284051334,0.283480533,4.148193,9.091325,5.0877865,10.041685,8.0145555130858
"y_fit[9",4.613112405,9.5587265775,4.612525,9.558395,0.285789342754806,0.289909352239007,0.284147703000001,0.283525011000001,4.147244,9.089192,5.086599,10.039085,8.01832638222724
"y_fit[10",4.6127199775,9.5578277075,4.612125,9.557475,0.285755587773031,0.28987566597966,0.284192181,0.283480533,4.146878,9.088371,5.0861395,10.038085,8.01978049196769
"y_fit[11",1.2190414725,3.501803255,1.214535,3.504095,0.174272221667229,0.19999816449259,0.177756327,0.200143587,0.94405465,3.175467,1.5111465,3.827559,59.0010592037719
"y_fit[12",1.21901224525,3.5019049925,1.2145,3.504215,0.174265493004753,0.199986385609514,0.17776374,0.200099109,0.9440358,3.1755685,1.511117,3.8276665,59.0053905353229
"y_fit[13",1.21900500725,3.501930225,1.21449,3.504245,0.174263864211081,0.199983287362733,0.177771153,0.200106522,0.9440308,3.1755985,1.5111075,3.8276865,59.0064622326614
"y_fit[14",1.21897519825,3.50203405,1.214455,3.504365,0.174256988842468,0.199971074931976,0.177778566,0.200113935,0.94401195,3.175691,1.511078,3.827794,59.0108854777086
"y_fit[15",1.218972333,3.5020439325,1.214445,3.504375,0.174256402809932,0.199969832514531,0.177793392,0.200113935,0.94400995,3.175701,1.511078,3.827804,59.0113058177149
"y_fit[16",1.21895905925,3.5020901725,1.21443,3.50443,0.174253367491593,0.199964484525536,0.177793392,0.200121348,0.94400105,3.1757515,1.511068,3.8278525,59.0132795668719
