"X1.lambda.1.";"X2.lambda.1.";"X3.lambda.1.";"X4.lambda.1.";"X1.lambda.2.";"X2.lambda.2.";"X3.lambda.2.";"X4.lambda.2.";"X1.lambda.3.";"X2.lambda.3.";"X3.lambda.3.";"X4.lambda.3.";"X1.lambda.4.";"X2.lambda.4.";"X3.lambda.4.";"X4.lambda.4.";"X1.lambda.5.";"X2.lambda.5.";"X3.lambda.5.";"X4.lambda.5.";"X1.lambda.6.";"X2.lambda.6.";"X3.lambda.6.";"X4.lambda.6.";"X1.lambda.7.";"X2.lambda.7.";"X3.lambda.7.";"X4.lambda.7.";"X1.lambda.8.";"X2.lambda.8.";"X3.lambda.8.";"X4.lambda.8.";"X1.lambda.9.";"X2.lambda.9.";"X3.lambda.9.";"X4.lambda.9.";"X1.lambda.10.";"X2.lambda.10.";"X3.lambda.10.";"X4.lambda.10.";"X1.lambda.11.";"X2.lambda.11.";"X3.lambda.11.";"X4.lambda.11.";"X1.lambda.12.";"X2.lambda.12.";"X3.lambda.12.";"X4.lambda.12.";"X1.lambda.13.";"X2.lambda.13.";"X3.lambda.13.";"X4.lambda.13.";"X1.lambda.14.";"X2.lambda.14.";"X3.lambda.14.";"X4.lambda.14.";"X1.lambda.15.";"X2.lambda.15.";"X3.lambda.15.";"X4.lambda.15.";"X1.lambda.16.";"X2.lambda.16.";"X3.lambda.16.";"X4.lambda.16.";"X1.lambda.17.";"X2.lambda.17.";"X3.lambda.17.";"X4.lambda.17.";"X1.lambda.18.";"X2.lambda.18.";"X3.lambda.18.";"X4.lambda.18.";"X1.lambda.19.";"X2.lambda.19.";"X3.lambda.19.";"X4.lambda.19.";"X1.lambda.20.";"X2.lambda.20.";"X3.lambda.20.";"X4.lambda.20.";"X1.lambda.21.";"X2.lambda.21.";"X3.lambda.21.";"X4.lambda.21."
0,0251969;0,0258261;0,025691;0,0272137;0,0258385;0,027813;0,0249871;0,0252563;0,0266262;0,0265326;0,0264737;0,0291517;0,0194008;0,0195358;0,0210389;0,0208642;0,0202601;0,0209576;0,0174942;0,0200003;0,0195335;0,0171371;0,019691;0,0192191;0,0113913;0,0103294;0,0109143;0,0106249;0,0117568;0,0110157;0,0116837;0,0117295;0,00936701;0,0103037;0,0110843;0,0108562;0,00324344;0,00242176;0,00394645;0,00324003;0,00328722;0,00550933;0,004111;0,00526509;0,00338257;0,00245522;0,00571447;0,00334697;0,00981026;0,00765222;0,00789357;0,00833465;0,00967234;0,009174;0,00790592;0,00778248;0,00988468;0,00962623;0,00855645;0,00914959;0,0135447;0,0149719;0,0133863;0,0142487;0,0147499;0,0129826;0,014901;0,0136086;0,0154931;0,0155142;0,0133073;0,0148496;0,0137003;0,0135811;0,0136805;0,0151584;0,0163205;0,01325;0,0123088;0,0133316;0,0131337;0,0139151;0,0152079;0,0135096
0,0268434;0,0271394;0,0282084;0,0254382;0,0262247;0,0276006;0,0278789;0,0271947;0,0271443;0,0271599;0,026304;0,0266345;0,0186201;0,018292;0,0189348;0,0201475;0,0200538;0,0186727;0,0182356;0,0176634;0,0187451;0,0199206;0,0181747;0,0181787;0,0112206;0,0109386;0,0109107;0,00999579;0,0124359;0,0107824;0,00965625;0,0110488;0,0102868;0,0115091;0,0132479;0,0114742;0,0023549;0,00420039;0,00437311;0,00314877;0,00291217;0,00291639;0,00338903;0,00417377;0,00473201;0,00289457;0,00391103;0,00405087;0,00915339;0,0114009;0,0101574;0,00898593;0,00877029;0,00904417;0,00923051;0,00988406;0,00899815;0,0101754;0,00945882;0,0102398;0,0138012;0,0135641;0,0139271;0,0128388;0,0155985;0,0114984;0,0148273;0,0129751;0,0148351;0,0129992;0,015151;0,0135186;0,0135781;0,0143396;0,013407;0,0129292;0,0139221;0,016444;0,0135784;0,0118816;0,0142822;0,0118615;0,012421;0,0161256
0,0249739;0,0253344;0,0262198;0,027672;0,0265672;0,026211;0,028077;0,0263403;0,0282683;0,0269247;0,0260735;0,0264216;0,0193998;0,0169242;0,0208494;0,0191314;0,0197399;0,0196459;0,0194869;0,0199736;0,0200097;0,0176341;0,0198302;0,0182042;0,0125365;0,0116398;0,0118383;0,0111036;0,0109143;0,0119059;0,0131864;0,0114903;0,0094587;0,0120091;0,009225;0,0103834;0,0037151;0,00331103;0,0039355;0,00558369;0,00361495;0,00364187;0,00296012;0,00240152;0,00315251;0,00475746;0,00244597;0,00371143;0,00825558;0,010368;0,00840518;0,00779548;0,00943943;0,0112528;0,0113875;0,00992543;0,00659861;0,00888489;0,00925376;0,00864533;0,0137693;0,0166742;0,0133174;0,0152705;0,0131836;0,0126424;0,0147285;0,014371;0,013672;0,0147482;0,0153179;0,013191;0,0127965;0,013496;0,0134062;0,0152081;0,0142705;0,0141592;0,0141769;0,0149787;0,0130947;0,0124147;0,0137182;0,013154
0,0272164;0,0266886;0,0271348;0,027583;0,0273247;0,0267376;0,0271173;0,0266823;0,0265299;0,0264989;0,0276523;0,0252985;0,0183002;0,0170481;0,018636;0,0205511;0,0185628;0,0198767;0,0182728;0,0185262;0,0184115;0,0173071;0,0190506;0,0210797;0,0102077;0,0118811;0,0117493;0,0111055;0,0106975;0,0101191;0,0112997;0,0124793;0,0123063;0,0113425;0,00977663;0,0103726;0,00416556;0,00431632;0,00425675;0,00376886;0,0046315;0,00466543;0,00612956;0,00415397;0,00436101;0,00257494;0,0033598;0,00392971;0,00935114;0,00794265;0,00925495;0,00772804;0,00751942;0,00844151;0,00961323;0,00996106;0,0106372;0,00796231;0,010247;0,00891458;0,0135954;0,0143826;0,0132853;0,0143486;0,0136659;0,0142126;0,0138361;0,0149696;0,0161316;0,0161446;0,0137275;0,0164949;0,0139889;0,012492;0,0143662;0,0167921;0,0127917;0,0123796;0,0147068;0,0162273;0,0138709;0,0163026;0,0137021;0,012972
0,0265111;0,026277;0,0258799;0,0266682;0,0256029;0,0279028;0,026646;0,0291859;0,0272424;0,0272639;0,0270088;0,0272314;0,0185815;0,0182872;0,0193082;0,0180042;0,0186185;0,0192245;0,0174088;0,0185124;0,0193812;0,0198099;0,0199653;0,0171812;0,00964892;0,0108487;0,0124883;0,00940526;0,0111996;0,0102132;0,0109479;0,0117909;0,0109367;0,0119865;0,00935022;0,0112855;0,00531534;0,0036843;0,00484538;0,00556244;0,00383142;0,00310767;0,00491397;0,00435548;0,00404099;0,00333618;0,00420366;0,00235;0,00996748;0,00864743;0,0093877;0,00806385;0,00814982;0,00887915;0,00660791;0,00800049;0,00842903;0,0100373;0,00927263;0,00870944;0,0141818;0,013542;0,0138856;0,0123275;0,0120639;0,0140301;0,0146141;0,0151071;0,0140637;0,0137417;0,0140428;0,015091;0,0137101;0,0126402;0,0140006;0,0137305;0,013353;0,015622;0,0145843;0,0133022;0,0119614;0,0144012;0,0142809;0,0163425
0,025827;0,0281667;0,0279417;0,0284459;0,0261781;0,0298005;0,0265814;0,0275966;0,0277436;0,0267246;0,0257808;0,0269445;0,0195658;0,0184816;0,0196524;0,0175487;0,0186063;0,020321;0,0167036;0,0183038;0,0177319;0,0189229;0,0178311;0,0181574;0,0109376;0,0106814;0,0108716;0,0101767;0,0112692;0,0114256;0,0105158;0,00988536;0,0100758;0,0124322;0,0125094;0,0105459;0,0026967;0,00398465;0,00221133;0,00359696;0,00343811;0,00290041;0,00350988;0,00302898;0,00356894;0,00369583;0,00351684;0,00363384;0,00853658;0,00940118;0,00852871;0,00914834;0,0077859;0,00890619;0,00954467;0,0075304;0,00811494;0,00841475;0,00871477;0,00865851;0,011828;0,0128394;0,0126467;0,0132267;0,0139132;0,0125011;0,0141042;0,0150088;0,0150603;0,015933;0,0122961;0,0143174;0,0147631;0,0134871;0,0148835;0,0140144;0,0131003;0,0121734;0,0151619;0,0145982;0,0135355;0,0132485;0,0150893;0,0134498
0,0275367;0,0256962;0,0256086;0,0256225;0,0272513;0,0276697;0,028872;0,0261939;0,028056;0,02608;0,0265088;0,0274713;0,0206055;0,0177625;0,0179799;0,0194013;0,0201869;0,0198005;0,0189158;0,0189448;0,0187795;0,0177229;0,0191737;0,0187176;0,0108538;0,0128408;0,00918394;0,0107246;0,0123247;0,0118201;0,0104717;0,010477;0,0106115;0,0109264;0,0120334;0,00992533;0,00362084;0,00312364;0,00580334;0,00301665;0,00435376;0,00335914;0,00435352;0,00324902;0,00515114;0,00660374;0,00370831;0,00356452;0,00984798;0,0126209;0,00967508;0,00933524;0,00842261;0,00878977;0,00967621;0,00904757;0,00781343;0,00843021;0,00608428;0,00989597;0,0135845;0,013765;0,0144811;0,0135913;0,013687;0,0129114;0,0140918;0,01266;0,0145479;0,01358;0,0151826;0,0148255;0,0138271;0,0122758;0,013947;0,015131;0,012217;0,015487;0,013287;0,0128395;0,0136858;0,0139797;0,0132649;0,0160727
0,0260274;0,0280862;0,0285014;0,0257284;0,0273321;0,0278083;0,0284004;0,0266635;0,0267002;0,0279529;0,0267793;0,0277048;0,0189885;0,0191931;0,019044;0,0192934;0,0181751;0,0201513;0,0189453;0,0194821;0,0202958;0,0183683;0,0185777;0,019419;0,0120912;0,0100515;0,0123016;0,0116343;0,0101265;0,010595;0,012234;0,0104207;0,0109445;0,0100707;0,0110201;0,00940508;0,00352569;0,00321847;0,00412487;0,00311617;0,00361469;0,00391516;0,00373333;0,00343398;0,00469493;0,00365762;0,00302045;0,00365979;0,00809483;0,00713848;0,00884059;0,00879432;0,00769477;0,00700985;0,00765467;0,0094558;0,00888741;0,00838239;0,00943718;0,00937689;0,0149885;0,0141792;0,0147065;0,0128991;0,0130436;0,0146266;0,0132061;0,0130097;0,0149352;0,0141678;0,0133883;0,0149223;0,0128033;0,0134631;0,0140452;0,0148414;0,0134872;0,0152696;0,0123366;0,0129544;0,0138135;0,0144056;0,014944;0,0151686
0,0272952;0,0278823;0,0259239;0,0280232;0,0271552;0,0275971;0,0264776;0,0276235;0,0271923;0,0268711;0,0264604;0,025616;0,0191996;0,0198755;0,0193974;0,0194951;0,018651;0,0203356;0,0193936;0,020445;0,0179311;0,0211891;0,0189721;0,0198435;0,011417;0,0112623;0,0104413;0,0116647;0,00992809;0,0104653;0,0106046;0,0115702;0,0119085;0,0102002;0,0107044;0,0105412;0,00382986;0,00485715;0,00447297;0,00421396;0,00378224;0,00458313;0,00283214;0,00344546;0,00465318;0,00537568;0,00291511;0,00207363;0,00949255;0,0081488;0,00870902;0,00917121;0,0118663;0,0098708;0,0104937;0,00962573;0,00825133;0,00833565;0,00860469;0,0088764;0,013265;0,0140618;0,0113554;0,0143317;0,0135831;0,012902;0,0134905;0,0153661;0,0149737;0,0154801;0,0141748;0,0153787;0,0145607;0,0143088;0,0134265;0,0137943;0,0145305;0,0135328;0,0131385;0,0135479;0,0129028;0,0112137;0,0126633;0,0134548
0,0259053;0,0263368;0,0266594;0,0278411;0,0256891;0,0280733;0,0266722;0,0277308;0,0265309;0,0276763;0,0270945;0,0261153;0,0188487;0,0187376;0,0173336;0,0184332;0,0188602;0,0180955;0,0176714;0,0221369;0,019121;0,0197221;0,0173874;0,0182298;0,0110389;0,00965607;0,0111959;0,0111391;0,0119378;0,011795;0,0102283;0,0106402;0,0113254;0,0105999;0,0128725;0,0112099;0,00187052;0,00239399;0,00676106;0,00411525;0,00430201;0,00370976;0,00477375;0,00257355;0,00334316;0,00370729;0,00376372;0,0027266;0,00784807;0,00709289;0,00926495;0,0100094;0,0076307;0,00799769;0,00970536;0,0101996;0,00916978;0,00796045;0,00897933;0,00879815;0,01597;0,0141108;0,0120085;0,0118562;0,0140746;0,0129072;0,0134961;0,0138087;0,0135968;0,0153787;0,0137531;0,013083;0,0136639;0,0138172;0,0127248;0,0147118;0,0133604;0,0131472;0,0134105;0,0129754;0,0159404;0,0131774;0,0138635;0,0128855
