"X1.lambda";"X2.lambda";"X3.lambda";"X4.lambda"
0,0207983;0,0215552;0,0210329;0,0198106
0,0211734;0,0215289;0,0189524;0,0211034
0,0202937;0,0194228;0,019243;0,0231385
0,0209194;0,0228515;0,0228477;0,0218325
0,0206503;0,0211708;0,0192844;0,0180079
0,0214509;0,0204756;0,018756;0,0230852
0,0200682;0,0210811;0,0205832;0,0200498
0,0201959;0,0210098;0,0221643;0,0194165
0,0219204;0,019377;0,0215416;0,0206072
0,0210223;0,0221989;0,0202964;0,021472
0,0202053;0,0199356;0,019907;0,0201309
0,0225578;0,0207395;0,0215593;0,0205821
0,021264;0,0220586;0,0194623;0,0217389
0,0213334;0,0195469;0,0197675;0,0198068
0,0194664;0,0210221;0,0198558;0,0189735
0,0213606;0,0218659;0,0202663;0,0208246
0,0206745;0,0217166;0,0206892;0,0200922
0,0216559;0,0215112;0,019778;0,0225712
0,020885;0,0202359;0,0219923;0,0200631
0,0223033;0,0202164;0,0204203;0,0205396
0,0206936;0,0240401;0,0195944;0,020937
0,020896;0,0194279;0,0203802;0,0230815
0,0206952;0,0224346;0,0204072;0,0210472
0,0209101;0,0198436;0,0206478;0,0199287
0,0202638;0,0198677;0,0208703;0,0221859
0,0205374;0,0217111;0,0203452;0,0196771
0,0201142;0,0208401;0,0209026;0,0200443
0,021966;0,0200312;0,0199951;0,021423
0,0208852;0,0195407;0,0215865;0,0216174
0,021221;0,0212992;0,0208651;0,0216822
0,0209538;0,0206503;0,020941;0,0219239
0,0213392;0,0204425;0,0218654;0,0207876
0,0210755;0,0191357;0,0199913;0,0233571
0,0233976;0,0222249;0,0224519;0,0223726
0,0210388;0,0211189;0,0204781;0,0203929
0,0202501;0,0206074;0,0210426;0,0211143
0,0211758;0,0214629;0,0206497;0,0211475
0,0195889;0,0203089;0,020434;0,0211082
0,0200505;0,0217445;0,020153;0,0220832
0,0212578;0,0198983;0,0215086;0,0203169
0,0205693;0,020035;0,0208903;0,0224378
0,0214271;0,0214696;0,0205009;0,0217405
0,021199;0,0206152;0,0218529;0,0204242
0,0210973;0,0224969;0,0199523;0,0204492
0,021496;0,0208567;0,0211222;0,0202478
0,0208873;0,0207185;0,0210148;0,0207591
0,0201829;0,019887;0,0201126;0,0190109
0,0221818;0,0197889;0,0209673;0,0191601
0,0205353;0,0215529;0,0197633;0,0224918
0,0210341;0,0208708;0,0195728;0,0194486
0,0213737;0,0204265;0,0214436;0,0195425
0,0210181;0,0224633;0,0194979;0,0206973
0,0223391;0,0218359;0,0218633;0,0206302
0,0211328;0,0207391;0,0198414;0,021012
0,0198445;0,0212906;0,0201315;0,0199879
0,0203439;0,0199487;0,0207094;0,0220591
0,0193229;0,0214143;0,0211649;0,0215498
0,0205221;0,0217064;0,0194642;0,0196791
0,0215533;0,0213265;0,0200974;0,0217323
0,0220511;0,0206215;0,0204987;0,0202612
0,0202267;0,0193686;0,0216791;0,0224493
0,0211571;0,0196345;0,0202615;0,0199529
0,020602;0,0220952;0,0215197;0,0197387
