variable;mean;median;sd;mad;q5;q95;rhat;ess_bulk;ess_tail;
lp__;-25397.92805;-25397.6;9.11015697271504;9.19212000000108;-25413.105;-25383.5;0.999876094757007;6189.00378204447;6741.58429531047;
y0[1];-19.3060743625;-19.30595;0.051926288153437;0.0481103699999959;-19.390805;-19.221995;1.00049251142313;6708.99400208791;6455.95298056834;
y0[2];6.7805361625;6.78437;0.378528429732151;0.351998892;6.1650875;7.394266;1.00029195570317;6355.18361540156;6357.14755178973;
sigma[1];0.0887907013;0.08590375;0.0186168106450999;0.01661875992;0.06458267;0.1229142;1.00030180055236;6482.49645088721;6601.97690279402;
sigma[2];0.652051469625;0.6343385;0.153275966949737;0.1442377062;0.43637535;0.92404285;0.999916487584287;5147.19686880401;6137.62278774006;
beta[1;1];0.95985428792275;0.943303;1.17569842726281;1.1581789506;-0.9587892;2.8779795;0.999923912687748;5564.63378242412;6038.19785961478
beta[2;1];-0.3865964814145;-0.3625065;1.23511922238938;1.2264941934;-2.4256115;1.642974;1.00002520506057;5829.13401831082;6265.19044471337
beta[3;1];-0.503070220877962;-0.510224;1.19541255378315;1.1668662453;-2.458701;1.4491735;0.999874231937728;5685.52163509056;6352.85967029266
beta[1;2];-0.119372646900162;-0.129026;0.661190551029167;0.6607177248;-1.200219;0.970154049999999;1.00001291859293;6759.25357349049;7213.13114418815
beta[2;2];1.12602267747475;1.1248;0.844728940626804;0.8440308366;-0.27186205;2.53;1.00054431869268;6471.06721028757;6600.87170823305
beta[3;2];-1.02158170255662;-1.01483;0.729231843006535;0.7222663812;-2.2240465;0.177569599999999;1.00032829242632;6735.2701120744;6228.09790627295
beta[1;3];0.3150828464496;0.3126775;0.388487979678688;0.38769152331;-0.3218977;0.9429963;1.00024554451033;6197.58110168433;6834.58327438728
beta[2;3];0.141830652716225;0.137086;0.507063254587426;0.5040187656;-0.6972055;0.983705949999999;1.00084841178021;7089.83562998954;6937.57396033854
beta[3;3];-0.452813629359562;-0.454459;0.395377262229266;0.3980402937;-1.098202;0.187995699999999;1.00080592508388;7060.15745599707;7303.69507834176
beta[1;4];0.0683952798637;0.0693385;0.226715309446674;0.22539619389;-0.3062947;0.43615135;1.00063707933997;6995.62054424018;7001.5077278743
beta[2;4];-0.01979943529775;-0.0203285;0.249888408094593;0.2543407713;-0.4334142;0.386497749999999;1.00042887039655;6646.13280345111;6596.58970285096
beta[3;4];-0.05069562113365;-0.05105595;0.22359752808645;0.2259052446;-0.4200382;0.31652215;1.00127949648182;6893.87048182621;6845.04471629551
