"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"lp__",-25397.85315,-25397.6,9.24527673843497,9.19212000000108,-25413.4,-25383.2,1.00022031543026,5909.74902533756,7268.10364603606
"y0[1]",-19.3075648625,-19.30785,0.0538052605454512,0.0507790499999949,-19.395905,-19.219695,1.00007063756919,6777.41518310788,6891.82564230137
"y0[2]",6.78100849375,6.78018,0.383174067226069,0.361784052000001,6.1446515,7.4081725,0.999966504167662,7103.97751594342,6662.06004001374
"sigma[1]",0.08931182785,0.08651505,0.0184456514397985,0.01649118219,0.065055765,0.1237607,0.999902382122225,6169.07410736755,6665.24433054588
"sigma[2]",0.655361048375,0.637416,0.149730189304306,0.1400849436,0.44501145,0.9273168,1.00015764692018,5030.95824204355,6603.31834914134
"beta[1,1]",0.95739156458654,0.952103,1.19177223131327,1.1702354538,-1.0050585,2.9147375,1.0002773952413,5508.25608845208,6787.65775842712
"beta[2,1]",-0.374988325549875,-0.3814135,1.24115020536352,1.2590772936,-2.4148785,1.6787255,1.00029374731215,5351.15056657659,6565.25872130251
"beta[3,1]",-0.503627480698125,-0.512837,1.21186605705945,1.1876085606,-2.5248495,1.5018665,1.00043471299957,5579.78901397645,6696.21521669107
"beta[1,2]",-0.1144472755722,-0.1156315,0.644667985242604,0.6395721423,-1.1847915,0.94950905,1.00046610080168,6586.56308014447,6705.42800192933
"beta[2,2]",1.11741199842011,1.124395,0.827463321042568,0.811182351,-0.2699447,2.460875,1.00025626642306,6825.51025026364,6936.92238922853
"beta[3,2]",-1.01776529860137,-1.01844,0.696547419656099,0.7088888814,-2.171075,0.135610599999999,1.00006561250437,6325.9345012004,6906.65204200853
"beta[1,3]",0.3239343456245,0.3270925,0.383360148970095,0.3788991864,-0.31526965,0.94451685,1.00018879011313,6836.37562909496,7033.25253093104
"beta[2,3]",0.127184026992337,0.120221,0.497219933145939,0.5038430775,-0.6783333,0.96690845,1.00027321892791,6753.96778433639,7181.87795197124
"beta[3,3]",-0.447949898105042,-0.4482005,0.395485481791754,0.3904567947,-1.100763,0.20566065,1.00013742852074,7184.50109217323,6772.51708000075
"beta[1,4]",0.071253419032175,0.0745147,0.226577196751092,0.22548433446,-0.307942,0.4391624,1.00039173359669,7258.22392954603,7204.69289493256
"beta[2,4]",-0.0224366184588988,-0.02408475,0.252524938642451,0.25372215645,-0.4321694,0.39599885,0.999970657460343,6798.76300936543,7146.97928370534
