"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"lp__",-25398.294825,-25400.4,6.58964844176228,6.07865999999784,-25408.1,-25387.3,3.3207827252306,4.44887280074892,11.6989110947678
"y0[1]",-19.271993775,-19.269,0.0245720311518626,0.0232768199999984,-19.322005,-19.236895,1.93300060423718,5.83058818918006,17.5474909920447
"y0[2]",6.7046572025,6.6976,0.0723646142458296,0.0590223060000008,6.622613,6.8677805,2.70258274571506,4.69698526784832,19.8517648669763
"sigma[1]",0.100840598125,0.1046094,0.0270802087635423,0.02536224516,0.058636795,0.1341039,3.72321378486651,4.35030500530493,11.088330234171
"sigma[2]",0.59892560925,0.502684,0.214043927319402,0.0714383397,0.4444349,0.98156365,3.12532675868899,4.75657777293786,12.5264771821859
"lambda[1]",0.02623935325,0.02621485,0.000444637215708307,0.000410383680000004,0.0256598,0.027235825,2.56418071066735,4.87120088602954,11.5471302078121
"lambda[2]",0.028159035925,0.0282529,0.00119559412059118,0.00152507649,0.026620295,0.0297796,3.09706732773341,4.54175082333734,26.2963467046537
"lambda[3]",0.027071995775,0.02714575,0.000287521782659202,0.00028932939,0.026705995,0.02747321,1.45507633640831,7.94470583658209,24.8945892529458
"lambda[4]",0.018703621025,0.01896675,0.000921722292101253,0.00092462349,0.01705439,0.019824615,3.82779397306863,4.34213785643666,12.5263830353151
"lambda[5]",0.0195222361,0.0198733,0.000789085404002946,0.000843895919999998,0.01799859,0.020532005,2.52312775643885,4.80501962333931,13.0127687130058
"lambda[6]",0.0189924588,0.01875485,0.00136880393635707,0.00193516365,0.0174476,0.02072246,2.25093991030923,5.1494070752154,22.3270644833623
"lambda[7]",0.01072127277,0.0108965,0.000348016519965244,0.000128541419999999,0.0097639835,0.01098212,2.05665650370519,5.75614647354883,12.1284003361827
"lambda[8]",0.01042892448,0.0103132,0.000626512749861656,0.00061713225,0.009781049,0.011630805,1.99636732837748,5.56183469627175,17.6410583465405
"lambda[9]",0.01029298881,0.01028655,0.000457159506050598,0.000411718020000001,0.009306447,0.0108496,2.09223059514048,5.28102467735906,11.2801753450134
"lambda[10]",0.00432816993,0.004300815,0.000553603469678348,0.000685368914999999,0.0036344965,0.005228515,3.44316562658585,4.43490265554269,11.4185616944454
"lambda[11]",0.004234292285,0.00400924,0.000697768352263331,0.001026856173,0.003312459,0.0052594075,4.01353982481245,4.31632686213541,11.6012639714266
