"observation","mean_1]","mean_2]","median_1]","median_2]","sd_1]","sd_2]","mad_1]","mad_2]","q5_1]","q5_2]","q95_1]","q95_2]","time"
"y_fit[1",-19.30590055,6.80157824375,-19.3064,6.80272,0.0523814952757977,0.380959143625655,0.0507049199999977,0.358967112,-19.3895,6.1884225,-19.2199,7.4260165,0.00555228961165994
"y_fit[2",-19.305751075,6.80184196875,-19.3063,6.802965,0.0523699133551172,0.380890945827823,0.0507049200000003,0.358952286,-19.389405,6.1887855,-19.2198,7.4260915,0.0118079216079786
"y_fit[3",-19.3056386125,6.802037325,-19.3061,6.803115,0.0523618196336249,0.380838624724935,0.0506307900000005,0.358922634,-19.3892,6.189059,-19.219695,7.4261735,0.016543649812229
"y_fit[4",-19.139653325,9.45169425125,-19.1398,9.463065,0.0524396360196427,0.234666490344277,0.0493705800000008,0.224510117999999,-19.2255,9.0501495,-19.0561,9.81753,60.0109746550862
"y_fit[5",-19.1396535375,9.45169544375,-19.1398,9.46307,0.0524395878252538,0.234666528478555,0.0493705800000008,0.224510117999999,-19.2255,9.0501495,-19.0561,9.81753,60.011005693865
"y_fit[6",-19.1396784625,9.45184832875,-19.1398,9.463235,0.0524381647516998,0.234667905957292,0.0493705800000008,0.224510117999999,-19.225505,9.050308,-19.0561,9.817672,60.0148445246322
"y_fit[7",-19.125849125,10.06950000125,-19.1251,10.09675,0.0521925236425189,0.193862163104867,0.0489999300000017,0.181247849999999,-19.213705,9.71542,-19.0419,10.3371,120.006686540414
"y_fit[8",-19.1258506625,10.06946138,-19.1251,10.09665,0.0521898077124713,0.193852237566908,0.0489999300000017,0.181255263,-19.2137,9.7154085,-19.0419,10.3371,120.014289641865
"y_fit[9",-19.125851075,10.06945301875,-19.1251,10.09665,0.0521893943053004,0.193849793984939,0.0489999300000017,0.181262676,-19.2137,9.7154085,-19.041995,10.3371,120.015874397685
"y_fit[10",-19.35820355,9.78129869,-19.3581,9.795695,0.0488567202366935,0.174236650657986,0.0466277700000019,0.170039394000002,-19.4373,9.4711735,-19.2775,10.038205,180.008058572412
"y_fit[11",-19.3582037,9.78129818375,-19.3581,9.795695,0.0488567331476096,0.174236746829155,0.0466277700000019,0.170039394000002,-19.4373,9.4711735,-19.2775,10.038205,180.008205324686
"y_fit[12",-19.358206375,9.78129159,-19.3581,9.79569,0.0488569070759755,0.174236932908168,0.0467019000000018,0.170039393999999,-19.4373,9.4711635,-19.2775,10.038205,180.009923303523
"y_fit[13",-19.4882600625,9.699139055,-19.4864,9.712255,0.0531378753147904,0.175952443206725,0.0515944800000009,0.169335159,-19.579025,9.3899395,-19.4046,9.959553,240.005398516115
"y_fit[14",-19.4882658625,9.699138085,-19.4864,9.71226,0.0531378468676264,0.175952596264944,0.0515944800000009,0.169327746,-19.579025,9.3899395,-19.4046,9.959553,240.006259265388
"y_fit[15",-19.4883492125,9.69912345875,-19.4865,9.71227,0.0531379249854924,0.175954271409443,0.0515944800000009,0.169268442000001,-19.57912,9.3899395,-19.4047,9.959534,240.018731126529
"y_fit[16",-19.9790362375,9.4852856325,-19.9765,9.474845,0.0657925523375289,0.306037534994081,0.0629363699999982,0.300033762,-20.09112,8.9995845,-19.876095,10.0071,300.008626506254
"y_fit[17",-19.9790671125,9.48524841125,-19.9766,9.47483,0.0657915947435894,0.306065859665849,0.0629363700000008,0.300085653,-20.091215,8.999488,-19.8761,10.0071,300.013487168299
"y_fit[18",-19.979085275,9.48522600375,-19.9766,9.47482,0.0657901856034743,0.306083217275351,0.0629363700000008,0.300122718,-20.091215,8.9994305,-19.8761,10.007105,300.016416526074
"y_fit[19",-19.225926925,9.37442436375,-19.2264,9.36688,0.0660278208726104,0.348985034575503,0.0647896200000018,0.368285253,-19.33441,8.816568,-19.1187,9.958771,360.004254266862
"y_fit[20",-19.2258109,9.37445866375,-19.2263,9.36691,0.0660303303547381,0.34894920908467,0.0647896200000018,0.368285253,-19.33431,8.8167125,-19.118595,9.9587605,360.007531325719
"y_fit[21",-19.2256472,9.3745075025,-19.2261,9.366955,0.0660329496233849,0.348898046430813,0.0647896200000018,0.368285252999999,-19.334205,8.8169345,-19.1184,9.95874,360.012164523583
