"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"lp__",-1137.1791,-1137.05,28.0188232471323,28.0582049999999,-1183.1405,-1089.677,1.00398257566927,917.220304727184,234.498451205408
"y0[1]",-0.842546908305,-0.813986,9.25132694459359,9.078226668,-15.907615,14.45641,1.00092097777702,6060.14133100997,2215.50558473298
"y0[2]",1.00266073975075,0.838202,9.73908271415782,9.7539468222,-15.04275,16.853035,1.0036734597764,6242.44720632984,2589.11145831221
"sigma[1]",1.60429777,1.6017,0.0733154351114654,0.071505798,1.487854,1.728761,1.00053243985332,6251.30620826348,2702.87486686908
"sigma[2]",0.80067652125,0.7996575,0.0362845643833459,0.0371139258,0.7433277,0.863635,1.00324807301109,6964.3495245772,2724.85520175174
"beta[1,1]",-2.9951926256535,-2.944445,1.42759570039815,1.454489904,-5.4002865,-0.756495550000001,1.00143752452286,3738.59647559226,2713.49393187873
"beta[2,1]",0.3088257445055,0.2919955,1.22281694639141,1.2324772257,-1.6633045,2.345988,1.00240753628752,3934.0531639477,2520.25990437182
"beta[3,1]",2.6751173439525,2.681235,1.22187328682649,1.202440491,0.6773936,4.7204915,1.00360197476101,4026.40994610258,2682.52954748773
"beta[1,2]",-0.10544149608075,-0.09545825,0.869346125126314,0.87215464665,-1.533222,1.2883075,1.00119947185701,2461.59183949842,2501.6850632161
"beta[2,2]",0.274348773429255,0.2882825,0.670274452904764,0.6581202096,-0.8166684,1.364246,1.00326023136932,4490.29397563592,2340.98895374523
"beta[3,2]",-0.22002976738475,-0.213981,0.70143560060208,0.6609104628,-1.35698,0.9308068,1.00306240358593,3534.70554988425,1776.96666506537
"beta[1,3]",-0.13695436649625,-0.133193,0.532223426240583,0.5121471201,-1.0108855,0.768186549999999,1.00060672258227,3086.13755685311,1659.18302631659
"beta[2,3]",1.2438942746525,1.248995,0.392693194229954,0.395935743,0.60110205,1.895067,1.00245392921046,3962.48184132523,2143.82521541199
"beta[3,3]",-1.0923561857925,-1.077645,0.408421785637158,0.3934049448,-1.7536655,-0.41781995,1.00120509349376,2725.54635217388,1434.55820995016
"beta[1,4]",-0.016754095008225,-0.011606,0.256743126951246,0.25041114,-0.44408285,0.4038826,1.00631015555958,3124.04403526821,1565.1791819889
"beta[2,4]",0.433833725662925,0.431484,0.247040912239644,0.2549241744,0.02847139,0.8464082,1.00086056062616,3828.72017312254,2826.47041244334
"beta[3,4]",-0.426443991139,-0.426608,0.253193318827786,0.246934443,-0.84837695,-0.00888714500000006,1.00208609391174,3608.02073722305,1910.41789005115
"lambda",0.0692667147,0.0683342,0.0106343290102459,0.01045840866,0.05344316,0.087949745,1.0014976648391,3293.3926187552,2395.14677487452
"s1[1,1]",-9.561269755,-9.621845,1.3340728679019,1.333242876,-11.715005,-7.3568055,1.00312839219832,6886.71882003693,2529.37139641278
"s1[2,1]",-9.49774717,-9.484895,1.35973251967635,1.358365533,-11.749525,-7.285862,0.99988519283238,6503.64966867551,2327.68365789949
"s1[3,1]",-9.5806877025,-9.579865,1.37292805572295,1.367691087,-11.920345,-7.3387175,1.00247258787855,1700.82918202777,268.087369332358
"s1[4,1]",-9.5387639,-9.5205,1.39087187450693,1.41773625,-11.843265,-7.3011075,1.00171727027023,4685.42664161763,2586.92192335018
"s1[5,1]",-9.5562399125,-9.571205,1.38138124160547,1.364837082,-11.80185,-7.223786,1.00554638342886,5133.4527252061,2081.88953048586
"s1[6,1]",-9.560893205,-9.5787,1.38181907574717,1.38801012,-11.78616,-7.2872645,0.999757389958691,4406.16254584154,2674.88757924302
"s1[7,1]",-9.513504885,-9.482615,1.44523886540189,1.424719296,-11.92483,-7.1965635,1.00611999443509,6165.09944005274,2066.38945562202
"s1[8,1]",-9.52251697,-9.52806,1.40673627993051,1.342442409,-11.811365,-7.2105145,1.00442793057193,6612.3587427081,2422.67110016469
"s1[9,1]",-9.49392515,-9.47205,1.43727782007578,1.39097532,-11.87993,-7.049062,1.00442713754778,1118.31443323302,250.907624130128
"s1[10,1]",-9.4816413975,-9.46662,1.33997952036095,1.305518256,-11.68329,-7.24778,1.00733670495313,4626.5784080535,2573.21608754792
"s1[11,1]",-9.564789765,-9.559865,1.33307662088296,1.335563145,-11.778875,-7.394958,1.00219104577668,5938.7254786782,2463.85518362075
"s1[12,1]",-9.51856406,-9.520815,1.33986617598106,1.385541591,-11.688205,-7.370952,1.00011057691258,5939.40480553232,2642.24646484587
"s1[13,1]",-9.572316745,-9.55579,1.35684457348865,1.410019317,-11.77132,-7.3408035,1.00587458709134,3925.76251553225,1999.67060252501
"s1[14,1]",-9.584573475,-9.569805,1.33999075959602,1.337290374,-11.7751,-7.3727865,1.00166876299722,6770.80996976545,2534.60718616798
"s1[15,1]",-9.552098255,-9.55656,1.33152227611278,1.357527864,-11.71902,-7.3558395,1.00218245572874,6020.23292180435,2435.35631295998
"s1[16,1]",-9.5484096475,-9.557585,1.40716090650542,1.384644618,-11.856435,-7.225622,1.0062435185826,6719.86780246,2370.01801632986
