"observation","mean_1]","mean_2]","median_1]","median_2]","sd_1]","sd_2]","mad_1]","mad_2]","q5_1]","q5_2]","q95_1]","q95_2]","time"
"y_fit[1",-11.558093732875,10.294761624175,-11.559421,10.2955295,0.5342037920018,0.266774414579204,0.551735505300001,0.265947305399999,-12.42489525,9.85820109,-10.6894329,10.73215605,1.00287973394152
"y_fit[2",-11.5582611123,10.294775497425,-11.5594915,10.2955505,0.534193165983456,0.266769702869928,0.551771829,0.265934703299999,-12.42500325,9.858209625,-10.68964885,10.7322037,1.00316237765364
"y_fit[3",-11.558627090475,10.294805916675,-11.5596415,10.295596,0.534169864756305,0.266759383187323,0.552079468500001,0.2658709515,-12.42537835,9.85822908,-10.689837,10.73230885,1.0037807872612
"y_fit[4",-11.560316545675,10.294946666375,-11.5610345,10.2956175,0.534062446721095,0.266711000054805,0.5525672439,0.265779030299999,-12.4271172,9.858222685,-10.69072295,10.73278305,1.00664064052049
"y_fit[5",-11.562967601025,10.295168807225,-11.564105,10.2961165,0.533896269927721,0.26663281433068,0.5522885151,0.265526247,-12.42988115,9.85850354,-10.6929229,10.7330418,1.01114879112225
"y_fit[6",-11.56329605165,10.295196456775,-11.5646575,10.296192,0.533875931118671,0.266623372525339,0.552325580100001,0.265542555599999,-12.43022695,9.85853583,-10.6932829,10.73305695,1.01170936466195
"y_fit[7",-11.56360862725,10.295222749925,-11.5651835,10.2962645,0.533856627476851,0.266614439114686,0.552239589300001,0.265483992899999,-12.43055785,9.858567295,-10.6936251,10.733073,1.01224349248223
"y_fit[8",-11.563958776575,10.295252221175,-11.5655425,10.296346,0.533835147678019,0.266604422635524,0.552288515100002,0.265548485999999,-12.43092915,9.858603455,-10.69400875,10.73309385,1.01284241826739
"y_fit[9",-11.567552046375,10.295555899275,-11.5688715,10.2962995,0.53361729556097,0.266504650220385,0.553443460500001,0.2649354309,-12.4356796,9.859668705,-10.69669695,10.73370985,1.01901789620519
"y_fit[10",-16.1495336115,11.61457662975,-16.1498355,11.615037,0.298571532600131,0.142886094566822,0.295006265400001,0.141440781299998,-16.6366411,11.37847405,-15.6480679,11.8455859,93.0001748972852
"y_fit[11",-16.14954209475,11.61457560125,-16.149847,11.6150435,0.298571438484316,0.142885852499512,0.295013678400002,0.141427437900001,-16.63664245,11.37847105,-15.64806775,11.84556705,93.0002919206303
"y_fit[12",-16.14960541225,11.6145677625,-16.1499915,11.615091,0.298570632895005,0.142884020236076,0.295079654099998,0.141325138500001,-16.63665785,11.378449,-15.6480727,11.8454254,93.0011481707497
"y_fit[13",-16.1496455985,11.61456273725,-16.150083,11.6151215,0.298570073673029,0.142882839551541,0.295108564800003,0.1412776953,-16.6366674,11.378435,-15.64807535,11.8453375,93.0016762870131
"y_fit[14",-16.14972388575,11.614552849,-16.1502585,11.6151655,0.298568862081644,0.142880565344393,0.295052226000001,0.141289556099999,-16.63668825,11.3784089,-15.64808255,11.8451692,93.0026743002376
